JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：BOM_JLCPCB-JLCPCB Assembly Order.xlsx,,,Download Time：2025-08-14 08:57:44,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：66.2286,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"D8,D9,D11,D13,D15",,D,SOD-123,,Select by System,B5819W SL,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOD-123,1A 40V 600mV@1A 9A SOD-123 Schottky Diodes ROHS,Schottky Diodes,,C8598,https://jlcpcb.com/partdetail/9093-B5819WSL/C8598,Basic,25,25 JLCPCB,0.545
J1,,Micro_SD_Card,SMD,,Select by System,DM3AT-SF-PEJM5,HRS(Hirose),SMD,-25℃~+85℃ 1.68mm Connector and Ejector MicroSD Card (TF Card) No Push-Push SMD SD Card / Memory Card Connector ROHS,SD Card / Memory Card Connector,,C114218,https://jlcpcb.com/partdetail/HRS_Hirose-DM3AT_SFPEJM5/C114218,Extended,5,5 JLCPCB,6.45
J2,,Conn_ARM_JTAG_SWD_10,"插件,P=1.27mm",,Select by System,PH-00555,Liansheng,"插件,P=1.27mm","-40℃~+105℃ 1.27mm 1.27mm 10P 1A 2 2.5mm 2x5P 3mm 4mm Black Pin Header Through Hole Plugin,P=1.27mm Pin Headers ROHS",Pin Headers,,C2685167,https://jlcpcb.com/partdetail/Liansheng-PH00555/C2685167,Extended,0,0 JLCPCB,0
J3,,USB_C_Receptacle_USB2.0_14P,SMD,,Select by System,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,5,5 JLCPCB,0.8485
"J4,J18,J23,J28",,Conn_01x04,"插件,P=2.5mm",,Select by System,B4B-XH-AM(LF)(SN),JST,"插件,P=2.5mm","-25℃~+85℃ 1 12.4mm 1x4P 2.5mm 250V 3A 4 4P 5.75mm 7mm Brass K Pin PA66 Through Hole Tin UL94V-0 White XH Plugin,P=2.5mm Wire To Board Connector ROHS",Wire To Board Connector,,C161871,https://jlcpcb.com/partdetail/JST-B4B_XH_AM_LF_SN/C161871,Extended,0,0 JLCPCB,0
"J5,J19,J24,J29",,Conn_01x04,"插件,P=2mm",,Select by System,KH-2PH180-1X4P-L8.7,Shenzhen Kinghelm Elec,"插件,P=2mm","-40℃~+105℃ 1 1.5A 1x4P 2.8mm 2mm 2mm 3.9mm 4P Pin Header Through Hole Plugin,P=2mm Pin Headers ROHS",Pin Headers,,C2938451,https://jlcpcb.com/partdetail/3294831-KH_2PH180_1X4P_L87/C2938451,Extended,0,0 JLCPCB,0
"J6,J13,J14,J32,J33,J34",,Conn_01x02,"插件,P=2mm",,Select by System,B2B-PH-K-S(LF)(SN),JST,"插件,P=2mm","-25℃~+85℃ 1 100V 1x2P 2 2A 2P 2mm 4.5mm 5.9mm 6mm Brass K Pin PA66 PH Through Hole Tin UL94V-0 White Plugin,P=2mm Wire To Board Connector ROHS",Wire To Board Connector,,C131337,https://jlcpcb.com/partdetail/JST-B2B_PH_K_S_LF_SN/C131337,Extended,0,0 JLCPCB,0
"J7,J21,J26,J31",,Conn_01x03,"插件,P=2.5mm",,Select by System,B3B-XH-AM(LF)(SN),JST,"插件,P=2.5mm","-25℃~+85℃ 1 1x3P 2.5mm 250V 3 3A 3P 5.75mm 7mm 9.9mm Brass K Pin PA66 Through Hole Tin UL94V-0 White XH Plugin,P=2.5mm Wire To Board Connector ROHS",Wire To Board Connector,,C161870,https://jlcpcb.com/partdetail/JST-B3B_XH_AM_LF_SN/C161870,Extended,0,0 JLCPCB,0
"J8,J12,J22,J27",,Conn_02x04_Odd_Even,"插件,P=2mm",,Select by System,A2005WV-2x4P,CJT(Changjiang Connectors),"插件,P=2mm","-40℃~+105℃ 2 2.8mm 2mm 2mm 2x4P 4mm 8P Black Brass Pin Header Through Hole Plugin,P=2mm Pin Headers ROHS",Pin Headers,,C225289,https://jlcpcb.com/partdetail/225572-A2005WV2x4P/C225289,Extended,0,0 JLCPCB,0
"J9,J10",,Conn_01x10,"插件,P=2.54mm",,Select by System,2.54-2*5P简牛,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","2 2.54mm 2.54mm 2x5P 5 IDC Header Through Hole Plugin,P=2.54mm IDC Connectors ROHS",IDC Connectors,,C5665,https://jlcpcb.com/partdetail/BOOMELE_Boom_Precision_Elec-2_54_2_5P/C5665,Extended,0,0 JLCPCB,0
"J11,J16,J20,J25,J30",,Conn_01x02,"插件,P=2.54mm",,Select by System,HX PZ2.54-1x2P ZZ,hanxia,"插件,P=2.54mm","-40℃~+105℃ 1 1x2P 2.54mm 2.5mm 2P 3A 3mm 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C32713268,https://jlcpcb.com/partdetail/hanxia-HX_PZ2_54_1x2PZZ/C32713268,Extended,0,0 JLCPCB,0
J15,,Conn_01x03,"插件,P=2.54mm",,Select by System,2.54-1*3P针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","-40℃~+105℃ 1 1x3P 2.54mm 3A 3P Black Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C49257,https://jlcpcb.com/partdetail/50265-2_54_1_3P/C49257,Extended,0,0 JLCPCB,0
J17,,Conn_01x05,"插件,P=2.5mm",,Select by System,B5B-XH-A(LF)(SN),JST,"插件,P=2.5mm","-25℃~+85℃ 1 14.9mm 1x5P 2.5mm 250V 3A 5 5.75mm 5P 7mm Brass K Pin PA66 Through Hole Tin UL94V-0 White XH Plugin,P=2.5mm Wire To Board Connector ROHS",Wire To Board Connector,,C157991,https://jlcpcb.com/partdetail/JST-B5B_XH_A_LF_SN/C157991,Extended,0,0 JLCPCB,0
"J35,J36,J37",,Conn_01x02,"插件,P=5mm",,Select by System,DG128-5.0-02P-14-00A(H),DEGSON,"插件,P=5mm","-40℃~+105℃ 1 12~30 1x2P 2 2.5 20A 2P 300V 5mm Green Through Hole Plugin,P=5mm Screw Terminal Blocks ROHS",Screw Terminal Blocks,,C711349,https://jlcpcb.com/partdetail/DEGSON-DG128_5_0_02P_14_00A_H/C711349,Extended,0,0 JLCPCB,0
L3,,4.7碌H,1212,,Select by System,74438334047,Wurth Elektronik,1212,1.1A 3.8A 307.8mΩ 4.7uH AEC-Q200 ±20% 1212 Power Inductors ROHS,Power Inductors,,C5542263,https://jlcpcb.com/partdetail/WurthElektronik-74438334047/C5542263,Extended,5,5 JLCPCB,7.155
Q1,,IRLML6402,SOT-23,,Select by System,IRLML6402,BORN,SOT-23,"-55℃~+150℃ 1 P-Channel 1.1W 1.2V 20V 3.7A 600pF 80mΩ@2.5V,3.1A SOT-23 MOSFETs ROHS",MOSFETs,,C5148470,https://jlcpcb.com/partdetail/BORN-IRLML6402/C5148470,Extended,9,9 JLCPCB,0.4635
"Q2,Q3,Q4",,NMOS,SOT-23,,Select by System,IRLML6344,Guangdong Hottech,SOT-23,"-55℃~+150℃ 1 N-Channel 1.1V 1.3W 29mΩ@4.5V,5A 30V 46pF@15V 5A 6.8nC@4.5V 650pF@25V SOT-23 MOSFETs ROHS",MOSFETs,,C5364313,https://jlcpcb.com/partdetail/GuangdongHottech-IRLML6344/C5364313,Extended,19,19 JLCPCB,0.798
"Q5,Q7",,Q_NMOS_GDS,TO-252(D2PAK),,Select by Customer,IRLR3110ZTRPBF,Infineon Technologies,TO-252,"-55℃~+175℃ 1 N-Channel 100V 130pF 140W 14mΩ@10V,38A 2.5V 3.98nF 48nC 63A TO-252 MOSFETs ROHS",MOSFETs,,C67277,https://jlcpcb.com/partdetail/InfineonTechnologies-IRLR3110ZTRPBF/C67277,Extended,10,10 JLCPCB,6.405
